City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,13.22,88,100,7.36,ZA,1687636363
1,lata,40.1629,-8.3327,22.39,69,11,1.7,PT,1687636363
2,waitangi,-43.9535,-176.5597,11.01,81,100,1.34,NZ,1687636363
3,adamstown,-25.066,-130.1015,20.49,57,100,4.15,PN,1687636363
4,longyearbyen,78.2186,15.6401,4.91,81,75,5.14,SJ,1687636363
5,arfoud,31.4348,-4.2375,32.67,10,0,3.69,MA,1687636364
6,puerto natales,-51.7236,-72.4875,3.25,93,75,1.03,CL,1687636364
7,enewetak,11.3474,162.3373,27.85,79,82,8.01,MH,1687636364
8,nabire,-3.3667,135.4833,24.79,90,100,1.3,ID,1687636364
9,port-aux-francais,-49.35,70.2167,2.05,95,84,9.43,TF,1687636364
10,afaahiti,-17.75,-149.2833,26.93,83,66,6.94,PF,1687636364
11,grytviken,-54.2811,-36.5092,-4.96,77,71,4.89,GS,1687636365
12,ushtobe,45.2514,77.9838,16.0,29,0,1.36,KZ,1687636365
13,mathba,22.2855,89.9629,26.83,90,100,4.82,BD,1687636365
14,puerto ayora,-0.7393,-90.3518,28.98,86,100,1.79,EC,1687636365
15,tukzar,35.9483,66.4213,23.78,21,2,2.06,AF,1687636365
16,olonkinbyen,70.9221,-8.7187,5.98,97,67,5.21,SJ,1687636365
17,lihue,21.9789,-159.3672,27.77,69,100,8.75,US,1687636365
18,albany,42.6001,-73.9662,23.48,93,100,0.86,US,1687635912
19,chonchi,-42.6128,-73.8092,12.29,79,36,1.06,CL,1687636366
20,karliova,39.2983,41.0142,11.6,77,0,2.77,TR,1687636366
21,flying fish cove,-10.4217,105.6791,24.82,88,75,2.57,CX,1687636366
22,bredasdorp,-34.5322,20.0403,12.05,90,100,5.02,ZA,1687636366
23,kodiak,57.79,-152.4072,9.73,93,100,5.66,US,1687636366
24,qaqortoq,60.7167,-46.0333,6.13,75,8,2.72,GL,1687636367
25,ilulissat,69.2167,-51.1,5.01,70,20,4.63,GL,1687636367
26,pasighat,28.0667,95.3333,25.38,92,0,1.37,IN,1687636367
27,ribeira grande,38.5167,-28.7,22.22,73,40,5.14,PT,1687636367
28,khamis mushait,18.3064,42.7292,23.34,56,0,1.54,SA,1687636367
29,karyes,37.3,22.5,20.11,65,0,0.48,GR,1687636367
30,severnoye,56.3491,78.3619,7.13,93,34,0.58,RU,1687636368
31,nema,57.5067,50.5011,8.78,89,11,0.76,RU,1687636368
32,torreperogil,38.0345,-3.2307,30.87,23,0,1.33,ES,1687636368
33,saipan,15.1355,145.701,27.58,100,98,3.13,MP,1687636368
34,al muharraq,26.2572,50.6119,36.1,28,0,2.57,BH,1687636369
35,kingscliff,-28.2667,153.5667,7.89,87,40,3.09,AU,1687636369
36,thames,-37.1333,175.5333,13.5,92,100,6.11,NZ,1687636369
37,klyuchi,52.2667,79.1667,12.59,46,100,2.1,RU,1687636369
38,teknaf,20.8624,92.3058,25.76,92,100,4.62,BD,1687636369
39,cozumel,20.5083,-86.9458,29.97,88,100,4.47,MX,1687636132
40,bethel,41.3712,-73.414,26.05,80,75,1.54,US,1687636155
41,conception bay south,47.4999,-52.9981,25.53,66,23,5.05,CA,1687636370
42,vorgashor,67.5833,63.95,3.97,77,1,3.08,RU,1687636370
43,stanley,54.868,-1.6985,21.51,71,20,2.06,GB,1687635836
44,kharp,66.8014,65.8081,4.8,81,38,1.11,RU,1687636370
45,kende,11.5197,4.2603,24.14,79,100,4.82,NG,1687636370
46,st. john's,47.5649,-52.7093,25.66,65,20,7.2,CA,1687636371
47,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,87,0,3.0,RU,1687636371
48,shimoda,34.6667,138.95,20.06,89,100,1.98,JP,1687636371
49,bartonville,40.6503,-89.652,35.26,35,0,2.57,US,1687636371
